Cue,Target,L1,L2,R1,R2,CorrPos,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Anleitungstext1.started,Anleitungstext1.stopped,mouseNext.started,mouseNext.stopped,Anleitungstext2.started,Anleitungstext2.stopped,mouseNext3.started,mouseNext3.stopped,Cross.started,Cross.stopped,Pfeile.started,Pfeile.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,mouse_resp.started,mouse_resp.stopped,Stim_Background.started,Stim_Background.stopped,topLeft.started,topLeft.stopped,bottomLeft.started,bottomLeft.stopped,topRight.started,topRight.stopped,bottomRight.started,bottomRight.stopped,Stimulus.started,Stimulus.stopped,topLeftTxt.started,topLeftTxt.stopped,bottomLeftTxt.started,bottomLeftTxt.stopped,topRightTxt.started,topRightTxt.stopped,bottomRightTxt.started,bottomRightTxt.stopped,jitter,Fixation.started,Fixation.stopped,Cue_Background.started,Cue_Background.stopped,Target_Background.started,Target_Background.stopped,CueWord.started,CueWord.stopped,TargetWord.started,TargetWord.stopped,Ende.started,Ende.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,31.38722584000061,None,0.013062244310276583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,01,2022-03-16_21h16.42.772,ImmediateRecall_NSWP,2022.1.1,60.19794517105815,
,,,,,,,,,,,,,,,,36.38580514500063,None,0.014416986901778728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,01,2022-03-16_21h16.42.772,ImmediateRecall_NSWP,2022.1.1,60.19794517105815,
FRAMEL,TAMRIE,DAUTER,TEISPE,TAMRIE,DEUNET,R1,TAMRIE,0,0,0,0,,,,,,,,,60.474812006999855,None,64.5216104239953,None,"[-0.3988889, -0.38]","[-0.46333334, -0.46888888]","[1, 1]","[0, 0]","[0, 0]","[5.123116702998232, 6.653001129001495]",[],3.0039411277030013,None,61.54406580399518,None,61.54406580399518,None,61.54406580399518,None,61.54406580399518,None,61.54406580399518,None,61.54406580399518,None,61.54406580399518,None,61.54406580399518,None,61.54406580399518,None,61.54406580399518,None,2.6,75.10220075899997,None,72.09753120899404,None,72.09753120899404,None,72.09753120899404,None,72.09753120899404,None,,,37,01,2022-03-16_21h16.42.772,ImmediateRecall_NSWP,2022.1.1,60.19794517105815,
GERTRA,STRUKE,KONDEN,STRUKE,DARMIL,KONFER,L2,STRUKE,0,1,1,1,,,,,,,,,,,80.7035493229996,None,[-0.5511111],[-0.3588889],[1],[0],[0],[6.964148469996871],[],3.0046927399016568,None,77.71922301899758,None,77.71922301899758,None,77.71922301899758,None,77.71922301899758,None,77.71922301899758,None,77.71922301899758,None,77.71922301899758,None,77.71922301899758,None,77.71922301899758,None,77.71922301899758,None,3.5,92.318664901999,None,89.30824475799454,None,89.30824475799454,None,89.30824475799454,None,89.30824475799454,None,,,37,01,2022-03-16_21h16.42.772,ImmediateRecall_NSWP,2022.1.1,60.19794517105815,
LURFEN,UNGRAL,MANION,DEUWES,TROWEN,UNGRAL,R2,UNGRAL,0,2,2,2,,,,,,,,,,,98.82298261200049,None,[-0.26444444],[-0.6333333],[1],[0],[0],[4.101645920003648],[],3.01038703390077,None,95.83429496399913,None,95.83429496399913,None,95.83429496399913,None,95.83429496399913,None,95.83429496399913,None,95.83429496399913,None,95.83429496399913,None,95.83429496399913,None,95.83429496399913,None,95.83429496399913,None,2.2,109.85169350700016,None,106.84276632899855,None,106.84276632899855,None,106.84276632899855,None,106.84276632899855,None,,,37,01,2022-03-16_21h16.42.772,ImmediateRecall_NSWP,2022.1.1,60.19794517105815,
VETRAM,SEIPEN,HAUBER,HENTES,TRAVER,SEIPEN,R2,SEIPEN,0,3,3,3,,,,,,,,,,,115.05857601099706,None,[-0.28666666],[-0.32444444],[1],[0],[0],[5.552548634004779],[],3.010022747905168,None,112.06858799299516,None,112.06858799299516,None,112.06858799299516,None,112.06858799299516,None,112.06858799299516,None,112.06858799299516,None,112.06858799299516,None,112.06858799299516,None,112.06858799299516,None,112.06858799299516,None,3.1,126.48462772199855,None,123.47674402700068,None,123.47674402700068,None,123.47674402700068,None,123.47674402700068,None,,,37,01,2022-03-16_21h16.42.772,ImmediateRecall_NSWP,2022.1.1,60.19794517105815,
REMBER,TIGMAU,TIGMAU,BEUTED,PFEKEL,KRELAS,L1,TIGMAU,0,4,4,4,,,,,,,,,,,132.58842502599873,None,[-0.64444447],[-0.71444446],[1],[0],[0],[3.5406595989989],[],3.015170029902947,None,129.60087094299524,None,129.60087094299524,None,129.60087094299524,None,129.60087094299524,None,129.60087094299524,None,129.60087094299524,None,129.60087094299524,None,129.60087094299524,None,129.60087094299524,None,129.60087094299524,None,2.5,142.617819563995,None,139.608846653995,None,139.608846653995,None,139.608846653995,None,139.608846653995,None,,,37,01,2022-03-16_21h16.42.772,ImmediateRecall_NSWP,2022.1.1,60.19794517105815,
NAUPEL,WANGUS,ORFTIN,WANGUS,MORBER,POKTER,L2,WANGUS,0,5,5,5,,,,,,,,,,,148.11669896799867,None,[-0.31333333],[-0.71555555],[1],[0],[0],[4.052221825993911],[],3.0048930398916127,None,145.13447547800024,None,145.13447547800024,None,145.13447547800024,None,145.13447547800024,None,145.13447547800024,None,145.13447547800024,None,145.13447547800024,None,145.13447547800024,None,145.13447547800024,None,145.13447547800024,None,2.5,159.75105158499355,None,156.74081325699808,None,156.74081325699808,None,156.74081325699808,None,156.74081325699808,None,,,37,01,2022-03-16_21h16.42.772,ImmediateRecall_NSWP,2022.1.1,60.19794517105815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.25091180500021,None,,,,,,,
