14.2609 	EXP 	Created TargetWord = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='TargetWord', opacity=1.0, ori=0, pos=array([0.4, 0. ]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
14.2636 	EXP 	Created Fixation = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='Kreuz.png', interpolate=True, mask=None, maskParams=None, name='Fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.15, 0.1 ]), texRes=512, units='height', win=Window(...))
14.2741 	EXP 	Created TextEnde = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='TextEnde', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Ende\n\nVielen Dank ', units='height', win=Window(...), wrapWidth=1)
14.2989 	EXP 	Wilkommen: autoDraw = True
31.9538 	DATA 	Mouse: Left button down, pos=(463,580)
31.9859 	EXP 	Wilkommen: autoDraw = False
31.9859 	EXP 	Kreuz: autoDraw = True
32.0545 	DATA 	Mouse:  Left button up, pos=(463,580)
32.9890 	EXP 	Imported NSWP_Lernen_Stimulus_List.xlsx as conditions, 6 conditions, 2 params
32.9892 	EXP 	Created sequence: sequential, trialTypes=6, nReps=1, seed=None
32.9895 	EXP 	New trial (rep=0, index=0): OrderedDict([('Cue', 'LURFEN'), ('Target', 'UNGRAL')])
33.0197 	EXP 	Kreuz: autoDraw = False
33.0197 	EXP 	CueWord: text = 'LURFEN'
33.0197 	EXP 	TargetWord: text = 'UNGRAL'
33.0197 	EXP 	Target_Background: autoDraw = True
33.0197 	EXP 	Cue_Background: autoDraw = True
33.0197 	EXP 	CueWord: autoDraw = True
33.0197 	EXP 	TargetWord: autoDraw = True
35.9861 	EXP 	Target_Background: autoDraw = False
35.9861 	EXP 	Cue_Background: autoDraw = False
35.9861 	EXP 	CueWord: autoDraw = False
35.9861 	EXP 	TargetWord: autoDraw = False
35.9861 	EXP 	Fixation: autoDraw = True
40.9709 	EXP 	New trial (rep=0, index=1): OrderedDict([('Cue', 'REMBER'), ('Target', 'TIGMAU')])
41.0031 	EXP 	Fixation: autoDraw = False
41.0031 	EXP 	Fixation: autoDraw = False
41.0031 	EXP 	CueWord: text = 'REMBER'
41.0031 	EXP 	TargetWord: text = 'TIGMAU'
41.0031 	EXP 	Target_Background: autoDraw = True
41.0031 	EXP 	Cue_Background: autoDraw = True
41.0031 	EXP 	CueWord: autoDraw = True
41.0031 	EXP 	TargetWord: autoDraw = True
44.0032 	EXP 	Target_Background: autoDraw = False
44.0032 	EXP 	Cue_Background: autoDraw = False
44.0032 	EXP 	CueWord: autoDraw = False
44.0032 	EXP 	TargetWord: autoDraw = False
44.0032 	EXP 	Fixation: autoDraw = True
48.3871 	EXP 	New trial (rep=0, index=2): OrderedDict([('Cue', 'GERTRA'), ('Target', 'STRUKE')])
48.4196 	EXP 	Fixation: autoDraw = False
48.4196 	EXP 	Fixation: autoDraw = False
48.4196 	EXP 	CueWord: text = 'GERTRA'
48.4196 	EXP 	TargetWord: text = 'STRUKE'
48.4196 	EXP 	Target_Background: autoDraw = True
48.4196 	EXP 	Cue_Background: autoDraw = True
48.4196 	EXP 	CueWord: autoDraw = True
48.4196 	EXP 	TargetWord: autoDraw = True
51.4192 	EXP 	Target_Background: autoDraw = False
51.4192 	EXP 	Cue_Background: autoDraw = False
51.4192 	EXP 	CueWord: autoDraw = False
51.4192 	EXP 	TargetWord: autoDraw = False
51.4192 	EXP 	Fixation: autoDraw = True
55.7035 	EXP 	New trial (rep=0, index=3): OrderedDict([('Cue', 'N AUPEL'), ('Target', 'WANGUS')])
55.7362 	EXP 	Fixation: autoDraw = False
55.7362 	EXP 	Fixation: autoDraw = False
55.7362 	EXP 	CueWord: text = 'N AUPEL'
55.7362 	EXP 	TargetWord: text = 'WANGUS'
55.7362 	EXP 	Target_Background: autoDraw = True
55.7362 	EXP 	Cue_Background: autoDraw = True
55.7362 	EXP 	CueWord: autoDraw = True
55.7362 	EXP 	TargetWord: autoDraw = True
58.7360 	EXP 	Target_Background: autoDraw = False
58.7360 	EXP 	Cue_Background: autoDraw = False
58.7360 	EXP 	CueWord: autoDraw = False
58.7360 	EXP 	TargetWord: autoDraw = False
58.7360 	EXP 	Fixation: autoDraw = True
62.9204 	EXP 	New trial (rep=0, index=4): OrderedDict([('Cue', 'FRAMEL'), ('Target', 'TAMRIE')])
62.9402 	EXP 	Fixation: autoDraw = False
62.9402 	EXP 	Fixation: autoDraw = False
62.9402 	EXP 	CueWord: text = 'FRAMEL'
62.9402 	EXP 	TargetWord: text = 'TAMRIE'
62.9402 	EXP 	Target_Background: autoDraw = True
62.9402 	EXP 	Cue_Background: autoDraw = True
62.9402 	EXP 	CueWord: autoDraw = True
62.9402 	EXP 	TargetWord: autoDraw = True
65.9521 	EXP 	Target_Background: autoDraw = False
65.9521 	EXP 	Cue_Background: autoDraw = False
65.9521 	EXP 	CueWord: autoDraw = False
