Cue,Target,L1,L2,R1,R2,CorrPos,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Anleitungstext1.started,Anleitungstext1.stopped,mouseNext.x,mouseNext.y,mouseNext.leftButton,mouseNext.midButton,mouseNext.rightButton,mouseNext.time,mouseNext.started,mouseNext.stopped,Anleitungstext2.started,Anleitungstext2.stopped,mouse.started,mouse.stopped,Cross.started,Cross.stopped,bottomRight.started,bottomRight.stopped,topRight.started,topRight.stopped,bottomLeft.started,bottomLeft.stopped,topLeft.started,topLeft.stopped,Pfeile.started,Pfeile.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,mouse_resp.started,mouse_resp.stopped,Stim_Background.started,Stim_Background.stopped,Stimulus.started,Stimulus.stopped,topLeftTxt.started,topLeftTxt.stopped,bottomLeftTxt.started,bottomLeftTxt.stopped,topRightTxt.started,topRightTxt.stopped,bottomRightTxt.started,bottomRightTxt.stopped,jitter,Fixation.started,Fixation.stopped,Ende.started,Ende.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,16.96007020900288,None,[-0.7966667],[-0.32],[1],[0],[0],[3.1732119009975577],0.009099136863369495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,01,2022-03-17_07h25.43.186,Abfrage_NSWP,2022.1.1,59.97587914019884,
,,,,,,,,,,,,,,,,,,,,,,20.12725214999955,None,0.013758684603089932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,01,2022-03-17_07h25.43.186,Abfrage_NSWP,2022.1.1,59.97587914019884,
GERTRA,STRUKE,KONDEN,STRUKE,KRELAS,DEUWES,L2,STRUKE,0,0,0,0,,,,,,,,,,,,,,,21.001695122002275,None,22.060216775003937,None,22.060216775003937,None,22.060216775003937,None,22.060216775003937,None,25.0464366610031,None,[-0.26555556],[-0.71],[1],[0],[0],[4.748280487001466],[],2.9990708617988275,None,22.060216775003937,None,22.060216775003937,None,22.060216775003937,None,22.060216775003937,None,22.060216775003937,None,22.060216775003937,None,3.4,26.78686620100052,None,,,37,01,2022-03-17_07h25.43.186,Abfrage_NSWP,2022.1.1,59.97587914019884,
VETRAM,SEIPEN,ORFTIN,MORBER,POKTER,SEIPEN,R2,SEIPEN,0,1,1,1,,,,,,,,,,,,,,,,,30.212012413001503,None,30.212012413001503,None,30.212012413001503,None,30.212012413001503,None,33.19140453100408,None,[-0.21333334],[-0.28666666],[1],[0],[0],[4.984531465001055],[],3.0138342171994736,None,30.212012413001503,None,30.212012413001503,None,30.212012413001503,None,30.212012413001503,None,30.212012413001503,None,30.212012413001503,None,4.9,35.17604996300361,None,,,37,01,2022-03-17_07h25.43.186,Abfrage_NSWP,2022.1.1,59.97587914019884,
FRAMEL,TAMRIE,HENTES,TEISPE,TAMRIE,DEUNET,R1,TAMRIE,0,2,2,2,,,,,,,,,,,,,,,,,40.09028530000069,None,40.09028530000069,None,40.09028530000069,None,40.09028530000069,None,43.074384632003785,None,[-0.21777777],[-0.2911111],[1],[0],[0],[3.2508998440025607],[],3.003277387600974,None,40.09028530000069,None,40.09028530000069,None,40.09028530000069,None,40.09028530000069,None,40.09028530000069,None,40.09028530000069,None,1.9,43.32523106900044,None,,,37,01,2022-03-17_07h25.43.186,Abfrage_NSWP,2022.1.1,59.97587914019884,
REMBER,TIGMAU,TIGMAU,HAUBER,TRAVER,MANION,L1,TIGMAU,0,3,3,3,,,,,,,,,,,,,,,,,45.23845205699763,None,45.23845205699763,None,45.23845205699763,None,45.23845205699763,None,48.221826533997955,None,[-0.25555557],[-0.6477778],[1],[0],[0],[6.383742259997234],[],3.002967086606077,None,45.23845205699763,None,45.23845205699763,None,45.23845205699763,None,45.23845205699763,None,45.23845205699763,None,45.23845205699763,None,2.7,51.60928388500179,None,,,37,01,2022-03-17_07h25.43.186,Abfrage_NSWP,2022.1.1,59.97587914019884,
NAUPEL,WANGUS,DAUTER,WANGUS,DARMIL,BEUTED,L2,WANGUS,0,4,4,4,,,,,,,,,,,,,,,,,54.32279801199911,None,54.32279801199911,None,54.32279801199911,None,54.32279801199911,None,57.299182421003934,None,[-0.60333335],[-0.74444443],[1],[0],[0],[3.5212848339942866],[],3.001799946599931,None,54.32279801199911,None,54.32279801199911,None,54.32279801199911,None,54.32279801199911,None,54.32279801199911,None,54.32279801199911,None,3.2,57.82818969800428,None,,,37,01,2022-03-17_07h25.43.186,Abfrage_NSWP,2022.1.1,59.97587914019884,
LURFEN,UNGRAL,KONFER,TROWEN,PFEKEL,UNGRAL,R2,UNGRAL,0,5,5,5,,,,,,,,,,,,,,,,,61.055791701997805,None,61.055791701997805,None,61.055791701997805,None,61.055791701997805,None,64.03806965400145,None,[-0.22333333],[-0.72333336],[1],[0],[0],[3.149559028002841],[],3.002482636606146,None,61.055791701997805,None,61.055791701997805,None,61.055791701997805,None,61.055791701997805,None,61.055791701997805,None,61.055791701997805,None,3.2,64.19071831199835,None,,,37,01,2022-03-17_07h25.43.186,Abfrage_NSWP,2022.1.1,59.97587914019884,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.39282634700066,None,,,,,,,
